word,translation,pos,notes
-ar,suffix (agreement),3SG.HUM U/OBL index,"Optional plural -li/-lu may follow","—","—"
-ke/-ko,suffix (applicative),goal/allative (GOAL),"Lexically L-toned; occurs after the root and any RECP/MID (-ri/-ru), and before OBL/U/PL; requires following OBL person index; licenses bare NP goal; distinct from PFV and from preposition kè","—","—"
-ke/-ko,suffix (aspect),perfective (PFV),"Obligatory TAM; polarity-sensitive tone; backness harmony","—","—"
-ke/-ko,suffix (case),agentive case (AGT),"Mid-vowel class; backness harmony; tone polarity (H-final stem → L-toned suffix); attaches to nouns/pronouns; order N-PL-CASE","—","—"
-l,suffix (agreement),3SG.AN U/OBL index,"Optional plural -li/-lu may follow","—","—"
-li/-lu,suffix (number),plural,"Backness harmony; on nouns stacks before case (N-PL-CASE); optionally after U/OBL on verbs","—","—"
-me/-mo,suffix (switch-reference),medial verb: different-subject (DS),"Replaces aspect on medial clauses; backness harmony","—","—"
-ne/-no,suffix (case),patientive case (PAT),"Mid-vowel class; backness harmony; tone polarity; palatalizes an adjacent preceding coronal segment; attaches to nouns/pronouns; order N-PL-CASE","—","—"
-ne/-no,suffix (switch-reference),medial verb: same-subject (SS),"Replaces aspect on medial clauses; backness harmony","—","Homophonous with PAT but verbal and prosodically distinct"
-nēlʃ/-nōlʃ,suffix (nominalizer),instrument/result nominalizer,"Derives ‘tool for V’ or ‘result of V’; slight dialectal back variant -nōlʃ","—","—"
-nʲi/-nu,suffix (agreement),1st person U/OBL index,"Number-neutral (1SG/1PL); optional plural -li/-lu may follow; backness harmony","—","—"
-pe/-po,suffix (applicative),benefactive (BEN),"Requires following OBL person index; licenses bare NP beneficiary; backness harmony; occurs after the root and any RECP/MID (-ri/-ru), and before OBL/U/PL","—","—"
-re/-ro,suffix (applicative),comitative/instrumental (COM/INS),"Requires following OBL person index; licenses bare NP comitative/instrument; backness harmony; occurs after the root and any RECP/MID (-ri/-ru), and before OBL/U/PL","—","—"
-ri/-ru,suffix (derivational),reciprocal/middle,"Suppresses full U NP/pronoun; still requires U-index; backness harmony","—","—"
-ti/-tu,suffix (agreement),2nd person U/OBL index,"Number-neutral (2SG/2PL); optional plural -li/-lu may follow; backness harmony","—","—"
-ti/-tu,suffix (aspect),imperfective (IPFV),"Obligatory TAM; polarity-sensitive tone (H-final stem → L-toned suffix); backness harmony; also forms action nominals without A/U indexing","—","—"
-tɬe/-tɬo,suffix (applicative),locative (LOC),"Requires following OBL person index; licenses bare NP location; backness harmony; occurs after the root and any RECP/MID (-ri/-ru), and before OBL/U/PL","—","—"
-ʃ,suffix (agreement),3SG.IN U/OBL index,"Optional plural -li/-lu may follow","—","—"
=ke/=ko,enclitic (polar Q),"yes/no question (PFV echo after IPFV clause)","Clause-final; H-toned; harmony applies; echoes the opposite aspect (PFV) after IPFV","—","Echo-aspect system"
=ke/=ko,enclitic (verum focus),"emphatic PFV (‘indeed’)",“Clause-final prosodic clitic repeating PFV; H-toned; distinct from Q enclitic by syntax/prosody”,"—","—"
=ti/=tu,enclitic (polar Q),"yes/no question (IPFV echo after PFV clause)","Clause-final; H-toned; harmony applies; echoes the opposite aspect (IPFV) after PFV","—","Echo-aspect system"
=ti/=tu,enclitic (verum focus),"emphatic IPFV (‘indeed’)",“Clause-final prosodic clitic repeating IPFV; H-toned; distinct from Q enclitic by syntax/prosody”,"—","—"
a-,prefix (agreement),3SG.HUM A-index,"No backness alternation; number-insensitive; presence does not license A pro-drop","—","—"
ā,pronoun (independent A/U),"he; she","3SG.HUM; independent pronoun; obligatory as A in finite clauses; takes case and optional plural -li","—","—"
